size,accuracy
2,1.0
3,0.5
4,0.5
5,0.285714285714
6,0.125
7,0.2
8,0.0
9,0.142857142857
10,0.0666666666667
11,0.25
12,0.333333333333
13,0.2
14,0.181818181818
15,0.130434782609
16,0.16
17,0.16
18,0.148148148148
19,0.148148148148
20,0.178571428571
21,0.1
22,0.0625
23,0.151515151515
24,0.0857142857143
25,0.166666666667
26,0.108108108108
27,0.105263157895
28,0.1
29,0.142857142857
30,0.136363636364
31,0.130434782609
32,0.166666666667
33,0.16
34,0.153846153846
35,0.148148148148
36,0.127272727273
37,0.157894736842
38,0.101694915254
39,0.147540983607
40,0.142857142857
41,0.107692307692
42,0.10447761194
43,0.115942028986
44,0.112676056338
45,0.125
46,0.13698630137
47,0.12
48,0.105263157895
49,0.103896103896
50,0.0886075949367
51,0.1
52,0.0975609756098
53,0.0963855421687
54,0.105882352941
55,0.0804597701149
56,0.0909090909091
57,0.0898876404494
58,0.0659340659341
59,0.118279569892
60,0.0842105263158
61,0.0618556701031
62,0.121212121212
63,0.0891089108911
64,0.106796116505
65,0.116504854369
66,0.0666666666667
67,0.0654205607477
68,0.0733944954128
69,0.0810810810811
70,0.0530973451327
71,0.0608695652174
72,0.0683760683761
73,0.0677966101695
74,0.0833333333333
75,0.0655737704918
76,0.0645161290323
77,0.0714285714286
78,0.0546875
79,0.0692307692308
80,0.0833333333333
81,0.0597014925373
82,0.0808823529412
83,0.0869565217391
84,0.0571428571429
85,0.0492957746479
86,0.0694444444444
87,0.0547945205479
88,0.0612244897959
89,0.0536912751678
90,0.0596026490066
91,0.0526315789474
92,0.0392156862745
93,0.0516129032258
94,0.0445859872611
95,0.0503144654088
96,0.0496894409938
97,0.0552147239264
98,0.030303030303
99,0.0538922155689
100,0.0295857988166
101,0.0292397660819
102,0.0290697674419
103,0.0348837209302
104,0.0402298850575
105,0.0454545454545
106,0.0449438202247
107,0.05
108,0.0388888888889
109,0.0384615384615
110,0.0434782608696
111,0.0434782608696
112,0.0376344086022
113,0.0478723404255
114,0.0531914893617
115,0.0368421052632
116,0.046875
117,0.0466321243523
118,0.0360824742268
119,0.0459183673469
120,0.040404040404
121,0.04
122,0.0497512437811
123,0.0247524752475
124,0.0441176470588
125,0.0436893203883
126,0.0289855072464
127,0.0382775119617
128,0.0428571428571
129,0.0377358490566
130,0.0327102803738
131,0.037037037037
132,0.0366972477064
133,0.0456621004566
134,0.0409090909091
135,0.0495495495495
136,0.0357142857143
137,0.0530973451327
138,0.0352422907489
139,0.0524017467249
140,0.030303030303
141,0.0431034482759
142,0.0257510729614
143,0.0468085106383
144,0.0466101694915
145,0.0295358649789
146,0.0502092050209
147,0.0375
148,0.0414937759336
149,0.0452674897119
150,0.0532786885246
151,0.0406504065041
152,0.0443548387097
153,0.0321285140562
154,0.036
155,0.0398406374502
156,0.0632411067194
157,0.043137254902
158,0.0390625
159,0.0348837209302
160,0.03861003861
161,0.0344827586207
162,0.0380228136882
163,0.0415094339623
164,0.0337078651685
165,0.0335820895522
166,0.0481481481481
167,0.0257352941176
168,0.03663003663
