size,accuracy
2,1.0
3,0.5
4,0.333333333333
5,0.285714285714
6,0.25
7,0.1
8,0.0833333333333
9,0.0
10,0.0
11,0.125
12,0.222222222222
13,0.2
14,0.181818181818
15,0.130434782609
16,0.12
17,0.16
18,0.148148148148
19,0.148148148148
20,0.107142857143
21,0.1
22,0.0625
23,0.151515151515
24,0.142857142857
25,0.111111111111
26,0.162162162162
27,0.184210526316
28,0.2
29,0.166666666667
30,0.113636363636
31,0.152173913043
32,0.166666666667
33,0.16
34,0.192307692308
35,0.166666666667
36,0.163636363636
37,0.122807017544
38,0.135593220339
39,0.131147540984
40,0.111111111111
41,0.123076923077
42,0.134328358209
43,0.159420289855
44,0.140845070423
45,0.125
46,0.164383561644
47,0.146666666667
48,0.131578947368
49,0.12987012987
50,0.164556962025
51,0.1375
52,0.134146341463
53,0.120481927711
54,0.105882352941
55,0.126436781609
56,0.102272727273
57,0.101123595506
58,0.10989010989
59,0.118279569892
60,0.0947368421053
61,0.0927835051546
62,0.0909090909091
63,0.128712871287
64,0.126213592233
65,0.0970873786408
66,0.114285714286
67,0.121495327103
68,0.110091743119
69,0.117117117117
70,0.106194690265
71,0.104347826087
72,0.119658119658
73,0.110169491525
74,0.0833333333333
75,0.106557377049
76,0.0645161290323
77,0.111111111111
78,0.0859375
79,0.0769230769231
80,0.0909090909091
81,0.089552238806
82,0.0955882352941
83,0.101449275362
84,0.1
85,0.0704225352113
86,0.0694444444444
87,0.0616438356164
88,0.0612244897959
89,0.0671140939597
90,0.0662251655629
91,0.0657894736842
92,0.0718954248366
93,0.0838709677419
94,0.0764331210191
95,0.062893081761
96,0.0745341614907
97,0.0674846625767
98,0.0666666666667
99,0.0479041916168
100,0.0710059171598
101,0.0701754385965
102,0.0639534883721
103,0.0639534883721
104,0.0747126436782
105,0.0738636363636
106,0.0561797752809
107,0.0777777777778
108,0.0555555555556
109,0.0604395604396
110,0.054347826087
111,0.0597826086957
112,0.0698924731183
113,0.0797872340426
114,0.0797872340426
115,0.0631578947368
116,0.0677083333333
117,0.0673575129534
118,0.0567010309278
119,0.0561224489796
120,0.0555555555556
121,0.06
122,0.0746268656716
123,0.0544554455446
124,0.0539215686275
125,0.0582524271845
126,0.048309178744
127,0.0430622009569
128,0.0619047619048
129,0.061320754717
130,0.0560747663551
131,0.0694444444444
132,0.0596330275229
133,0.0365296803653
134,0.0681818181818
135,0.045045045045
136,0.0535714285714
137,0.0353982300885
138,0.057268722467
139,0.0436681222707
140,0.0519480519481
141,0.0560344827586
142,0.0472103004292
143,0.0340425531915
144,0.0338983050847
145,0.0632911392405
146,0.0418410041841
147,0.0458333333333
148,0.0414937759336
149,0.0534979423868
150,0.0368852459016
151,0.0487804878049
152,0.0403225806452
153,0.0522088353414
154,0.056
155,0.0517928286853
156,0.0474308300395
157,0.0549019607843
158,0.0625
159,0.0387596899225
160,0.03861003861
161,0.0383141762452
162,0.0456273764259
163,0.0528301886792
164,0.0374531835206
165,0.0485074626866
166,0.0518518518519
167,0.0367647058824
168,0.029304029304
169,0.0290909090909
